Condition,Correlation_Model,Correlation_BMI
Told_High_Cholesterol,0.2848679912321662,0.05276347939420364
Diagnosed_Diabetes,0.34996497578572094,0.1445191274550718
Diagnosed_Hypertension,0.5253409398484502,0.19310040609456644
Diagnosed_Thyroid_Problem,0.2508432937432347,0.05814299413835338
CVD_Diagnosed,0.449554246222811,0.049170871047434915
