train_loss,test_loss,train_accuracy,test_accuracy
0.5209556301029361,0.36830983400344847,0.8013334855133173,0.8971342611312866
0.3192420770623246,0.2761132675409317,0.8962923227524271,0.9010879635810852
0.2793697701120863,0.2633399552106857,0.898573748311218,0.9007129669189453
0.2707395112636138,0.25985798358917234,0.9002666978203521,0.9015416669845581
0.2669700736902198,0.2592794269323349,0.8996695261828753,0.9019953727722168
0.26408593964820004,0.2565456086397171,0.9012755119070714,0.9025092554092408
0.26117873632786226,0.2552563780546188,0.902133580373258,0.9033379626274108
0.2606536677601386,0.2572177678346634,0.9017248378724468,0.903509259223938
0.26057873924776,0.25646803200244905,0.9018552856785911,0.9046342563629151
0.2589482418736633,0.25606718719005583,0.9017074430475429,0.9049629616737366
0.2577898596622506,0.2535796654224396,0.9019451506283819,0.9021666741371155
0.25644625480077704,0.2563418120145798,0.9035888192604999,0.9058842515945434
0.25628570269565193,0.25322088301181794,0.9026292903082711,0.9041203737258912
0.25501933785117403,0.25209049463272093,0.9019973351030933,0.9055092573165894
0.2541247022395231,0.251636735200882,0.9018089041417959,0.9074305534362793
0.25399379264943456,0.2555109292268753,0.9028496061052594,0.905995364189148
0.2517005525985543,0.25333512663841246,0.9043773199830737,0.903087956905365
0.2540433969424695,0.2557135009765625,0.9049628942596669,0.9035879611968994
0.25340433145055963,0.2548127818107605,0.9031684836562799,0.9063055562973023
0.25291015025304286,0.2547027665376663,0.9033018314108556,0.9035879611968994
0.2519800141453743,0.253059903383255,0.904406306694965,0.9045879626274109
0.2515814857823508,0.2511717849969864,0.9047077924621348,0.9055092597007751
0.25165075109321244,0.2540620023012161,0.9039019011721319,0.9055555534362792
0.25072738193735783,0.25361818075180054,0.9046005314710189,0.9054629588127137
0.25040552293767737,0.2531275427341461,0.9048788249492645,0.9054629611968994
0.25067202959741863,0.25260228037834165,0.9042468703522974,0.9062129640579224
0.24991379921533624,0.2502101957798004,0.9042787564044096,0.906509256362915
0.25039940479458594,0.2519278174638748,0.904490372964314,0.905291669368744
0.24810430681218906,0.2505770754814148,0.9067167201820685,0.9070555567741394
0.24822453074917503,0.25222874283790586,0.9059717077381757,0.9066342544555664
0.2495178229042462,0.2545568960905075,0.9047657683187601,0.9050555491447448
0.24880303077551782,0.2535800313949585,0.9046672102139921,0.9030092620849609
0.2483213180486037,0.25306985795497894,0.9052614782537732,0.902837963104248
0.24930366113477823,0.25400032222270963,0.9048759280418863,0.9049305558204651
0.24933599194093625,0.2526018786430359,0.9039743755544934,0.9050092554092407
0.2482455949089965,0.25181975185871125,0.9050469641782799,0.9055555534362792
0.2469339344878586,0.2557274633646011,0.9048614343818353,0.906087965965271
0.24849229594882655,0.25348651051521304,0.9057050079715495,0.9054305529594422
0.2461826878846908,0.25562123119831087,0.9064152362395306,0.9062129592895508
0.24525381594288106,0.2537171506881714,0.9059659060166807,0.904166669845581
0.24643912364025505,0.2526970595121384,0.9061369421530743,0.9056805562973023
0.24646722312484468,0.2528891205787659,0.905609347990581,0.9060092592239379
0.2461067080801847,0.26144575893878935,0.9062123164838675,0.9047129631042481
0.24734448656743888,0.25385513544082644,0.9049860859403804,0.9072129678726196
0.24480145120499086,0.257038037776947,0.9057948765706043,0.9057129645347595
0.2455425069344287,0.2534958058595657,0.9051861093968762,0.9059305548667907
0.24490512329704908,0.2528177726268768,0.9057368964565043,0.904759259223938
0.24394548243405867,0.25169780135154723,0.9064616183845364,0.9054305505752563
0.24533215864580504,0.25472572922706604,0.9058151683028863,0.9048055577278137
0.24448933969346845,0.2557841694355011,0.905368738028468,0.9035416650772095
